Altium Designer Pick and Place Locations
C:\Users\Satyam.DESKTOP-S570OAU\OneDrive - Vylt Technologies Private Limited\Altium_Designs\SCOM_BATTPACK\Project Outputs for SCOM_BATTPACK\Pick Place\SCOM_BATTPACK_CPL.csv

========================================================================================================================
File Design Information:

Date:       05-03-25
Time:       14:09
Revision:   cae404fbe077741f6fbf5bb76f7621a60da73640
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"BAT1","TopLayer","87.0000","64.0000","0"
"BAT2","TopLayer","87.0000","23.0000","0"
"C1","TopLayer","35.0552","30.4893","90"
"C2","TopLayer","19.2770","16.4500","270"
"C3","TopLayer","45.5000","18.2000","0"
"C4","TopLayer","45.5000","16.4000","0"
"C5","TopLayer","45.0310","31.7500","90"
"C6","TopLayer","40.7000","16.4000","180"
"C7","TopLayer","40.7000","18.2000","180"
"C8","TopLayer","42.4000","47.6000","0"
"C9","TopLayer","32.0000","70.5000","270"
"C10","TopLayer","27.4000","44.5000","180"
"C11","TopLayer","26.7500","69.2500","270"
"D1","TopLayer","30.4512","29.0000","90"
"D2","TopLayer","13.0000","64.3000","270"
"D3","TopLayer","41.2500","70.5000","270"
"D4","TopLayer","19.7000","72.6559","0"
"J1","TopLayer","11.4000","22.6500","0"
"J2","TopLayer","36.0000","80.0000","0"
"J3","TopLayer","20.0000","80.0000","0"
"J4","TopLayer","20.0000","83.0000","0"
"J5","TopLayer","133.0000","57.0000","90"
"J6","TopLayer","36.0000","83.0000","0"
"J7","TopLayer","130.0000","30.0000","90"
"J8","TopLayer","133.0000","30.0000","90"
"J9","TopLayer","130.0000","57.0000","90"
"J10","TopLayer","18.5000","7.5000","180"
"L1","TopLayer","30.4512","17.4174","270"
"L2","TopLayer","40.9659","58.3500","90"
"Q1","TopLayer","10.0238","53.3613","270"
"Q2","TopLayer","41.9550","39.7000","90"
"Q3","TopLayer","29.7484","36.1110","0"
"R1","TopLayer","21.5000","28.0000","180"
"R2","TopLayer","43.1000","14.1000","180"
"R3","TopLayer","21.5000","25.0000","180"
"R4","TopLayer","43.0000","11.4000","180"
"R5","TopLayer","35.0552","27.1404","270"
"R6","TopLayer","38.5000","20.2000","0"
"R7","TopLayer","41.7500","31.7500","270"
"R8","TopLayer","43.2500","31.7500","270"
"R9","TopLayer","42.8000","5.5000","270"
"R10","TopLayer","20.1000","33.9000","270"
"R11","TopLayer","18.3000","33.9000","270"
"R12","TopLayer","44.6000","5.5000","90"
"R13","TopLayer","46.4000","5.5000","270"
"R14","TopLayer","1.8000","52.5000","270"
"R15","TopLayer","3.7000","56.5000","270"
"R16","TopLayer","23.8966","35.0000","90"
"R17","TopLayer","33.5000","44.9000","0"
"R18","TopLayer","36.6000","34.4000","0"
"R20","TopLayer","33.5000","46.4000","180"
"R21","TopLayer","26.0658","37.5480","180"
"R22","TopLayer","33.5000","47.9000","0"
"SW1","TopLayer","9.6000","35.0000","270"
"U1","TopLayer","40.4800","26.3174","0"
"U2","TopLayer","35.4000","5.0000","180"
"U3","TopLayer","26.5786","53.1925","90"
"ZD1","TopLayer","3.7000","52.6000","90"
"ZD2","TopLayer","32.8317","35.9610","90"
